case_id,slug_base,title_h1,user_type,relation,amount_band,situation_summary,evidence_type
DEBT-001,manufacturing-corporate-arrears-4months,납품 후 4개월째 대기업 잔금 미수,중소 제조업체 대표,거래처(대기업),2000만 이상,"대기업이 납품 후 잔금을 4개월째 미루며 거래 단절을 암시해 압박감이 큰 상황. 지연이자 계산과 대응 절차가 고민.",계약서·납품서·세금계산서 있음
DEBT-002,remodeling-balance-50pct,리모델링 공사 잔금 50% 미지급,인테리어 개인사업자,거래처(주택 고객),500만~2000만,"하자를 핑계로 잔금 절반을 미루며 내용증명 효력이 궁금한 상황. 공사 완료 증거 확보가 중요.",공사 계약서·시공 사진·견적서 있음
DEBT-003,subcontract-payment-after-bankruptcy,건설 하도급 대금 1년 미수(원도급 부도),하도급 건설업체,거래처(원도급사),2000만 이상,"원도급 법인 부도로 하도급 대금이 1년 넘게 미수 상태. 파산·채권 신고와 정부 지원책 검토 필요.",하도급 계약서·기성 자료·세금계산서 있음
DEBT-004,ad-agency-fee-6months,프랜차이즈 본사 광고대행료 6개월 미납,광고 대행사(법인),거래처(본사),500만~2000만,"지급명령을 무시하는 채무자에 무력감을 느낌. 대표이사 형사 고소와 강제집행 여부를 고민.",계약서·세금계산서·업무 산출물 있음
DEBT-005,freight-fee-balance-1month,해외 운송료 잔금 1개월 미수,물류/운송업체,거래처(수출입 고객),100만~500만,"소액 잔금이라 변호사 비용이 부담되는 상황. 간단한 청구 절차와 비용 최소화가 필요.",운송장·송장·계좌이체 내역 있음
DEBT-006,retail-offset-dispute,대형마트 상계 처리로 납품대금 미수,유통 납품업체,거래처(대형마트),500만~2000만,"유통 기한 경과 물품을 이유로 일방 상계 처리당해 억울함. 불공정 거래 입증 자료가 부족해 불안.",납품서·정산서·거래명세서 있음
DEBT-007,platform-settlement-delay-2months,플랫폼 정산금 2개월 지연,이커머스 셀러,플랫폼,100만~500만,"플랫폼 연쇄 파산을 우려하며 집단 대응 외 개인 대응을 모색. 정산 일정 확인과 독촉이 필요.",플랫폼 정산 내역·판매 명세 있음
DEBT-008,it-outsourcing-balance-held,IT 외주 잔금 3개월 보류,IT 외주 개발사,거래처(플랫폼사),2000만 이상,"모호한 계약 조항을 이유로 테스트 명목 잔금 보류. 용역 완료 증거와 소멸시효 관리가 필요.",개발 계약서·납품 증적·커밋/배포 기록 있음
DEBT-009,freelance-design-900k,스타트업 외주 디자인비 90만 원 미수,프리랜서 디자이너,거래처(스타트업),100만 미만,"소액이라 소송이 망설여지지만 노동청 신고 가능 여부를 고민. 지연이자와 간단 절차가 필요.",카톡/이메일·견적서·결과물 파일 있음
DEBT-010,yoga-instructor-wage-200,헬스장 폐업 후 강사료 200만 원 미수,프리랜서 강사,고용주(헬스장),100만~500만,"사업주 잠적과 폐업으로 막막한 상태. 대지급금 요건과 진정 절차 확인이 필요.",출근기록·계좌이체 내역·강사 계약 또는 안내문
DEBT-011,adjunct-lecture-fee-100,대학교 시간강사료 100만 원 지연,시간 강사,고용주(학교),100만~500만,"학교 상대 소송 시 불이익을 걱정하며 내용증명 발송 여부를 고민. 체불 임금 절차 확인 필요.",강의 계약서·강의 일정표·지급 명세
DEBT-012,construction-daily-150,건설 일용직 임금 150만 원 미지급,건설 일용직 근로자,고용주(개인사업주),100만~500만,"근로계약서 부재로 입증이 불안하지만 출역 기록과 계좌 내역이 있음. 형사 고소 가능 여부 고민.",출역일보·계좌이체 내역·현장 사진
DEBT-013,editor-freelance-600k,출판 외주 편집비 60만 원 상습 체불,출판 외주 프리랜서,거래처(출판사),100만 미만,"소액이라 버티는 채무자에 분노하며 이자 청구를 원함. 지급명령 등 간단 절차 필요.",카톡/이메일·견적서·원고 교정본
DEBT-014,marketer-contract-500,마케팅 용역비 500만 원 전액 미수,마케팅 프리랜서,거래처(클라이언트),500만~2000만,"계약 불이행을 이유로 잔금을 미루는 상황. 불리한 조항과 가압류 필요성 고민.",용역 계약서·성과 보고서·메일 커뮤니케이션
DEBT-015,friend-loan-1000-no-note,친구에게 1천만 원 대여(차용증 없음),지인(친구),지인,500만~2000만,"친구가 증여라고 주장해 배신감을 느낌. 카톡과 계좌이체로 대여 사실 입증 필요.",계좌이체 내역·카톡 대화·이자/부분 변제 흔적
DEBT-016,colleague-loan-500,전 직장 동료에게 급전 500만 원 대여,지인(동료),지인,500만~2000만,"무이자 대여 후 잠수. 지급명령과 소송 중 선택을 고민하며 계좌 이체로 입증 가능.",계좌이체 내역·메신저 대화
DEBT-017,brother-education-loan-7000,형에게 학비 명목 7천만 원 대여,가족(형제),가족,2000만 이상,"가족 간 거래로 증여세 조사와 입증이 걱정. 상환 약정이 불명확해 정리 필요.",계좌이체 내역·카톡/문자 기록 일부
DEBT-018,secondhand-fraud-300k,중고거래 사기 피해 30만 원 미수,온라인 중고 거래자,사기 피해,100만 미만,"사기꾼 신원 미확인으로 답답. 형사 고소와 배상명령 활용을 검토.",송금 내역·거래 채팅 로그·게시글 캡처
DEBT-019,ex-lover-expense-2000,헤어진 연인에게 생활비 2천만 원 대여,전 연인,지인/연인,2000만 이상,"감정적 단절로 협상 불가, 연인 관계 대여 입증이 난해. 카톡·계좌 증거로 대여금 주장 필요.",계좌이체 내역·카톡 대화·생활비 명세
DEBT-020,investment-4000-unreturned,지인 투자금 4천만 원 미회수,개인 투자자,지인,2000만 이상,"투자와 대여가 모호해 사기죄 성립 가능성을 기대. 원금·수익 미정산 상태.",계좌이체 내역·투자 제안 메시지·약정서 유무 불명
DEBT-021,private-tutoring-700k,과외비 70만 원 미지급(학부모 잠수),과외 교사,고객(학부모),100만 미만,"학부모 주소 불명으로 소송이 막힘. 주소 보정과 간단한 지급명령을 고민.",계좌이체 내역·카톡/문자 수업 기록
DEBT-022,medical-fee-300,대리 수술 수수료 300만 원 미수,의료인(의사),동업/의뢰인,100만~500만,"불법 거래 노출이 두렵지만 약속된 수수료 미수 상태. 녹취록의 증거력 확인 필요.",계좌이체 내역·녹취·메신저 기록
DEBT-023,public-project-delay-payment,공공기관 용역 대금 검수 지연 미수,IT 업체,거래처(공공기관),2000만 이상,"검수 지연으로 대금이 묶여 소송 부담을 느낌. 지연이자와 계약상 기한 확인 필요.",계약서·검수요청/완료 문서·세금계산서
DEBT-024,car-purchase-loan-2500,지인 자동차 구입자금 2,500만 원 대여,지인,지인,2000만 이상,"담보 없이 빌려줬으나 재산 은닉 의심. 재산 조회와 강제집행 절차 고민.",계좌이체 내역·메신저 약속·담보 없음
DEBT-025,cs-lecture-fee-150,기업 출강 CS 강사료 150만 원 미수,기업 출강 강사,거래처(기업),100만~500만,"3.3% 사업소득 신고로 노동청 신고가 어려워 소송을 고민. 간단 청구 절차 필요.",세금계산서/원천징수 영수증·강의 확인서
DEBT-026,webtoon-royalty-300,웹툰 원고료 300만 원 미수,웹툰 작가,플랫폼/출판사,100만~500만,"플랫폼 불공정 계약서로 정산이 지연. 조정 절차와 저작권료 회수 방법이 필요.",정산 내역·출판/연재 계약서·메일 기록
DEBT-027,parent-living-expense-500,어머니 생활비 500만 원 대여 후 상환 요구,가족(부모),가족,500만~2000만,"부모 상대 청구라 심리적 부담이 크며 이자 포기하고 원금 회수만 희망.",계좌이체 내역·가족 간 메모/메신저
DEBT-028,move-in-cleaning-400k,입주 청소 잔금 40만 원 미지급,청소 업체(소상공인),고객,100만 미만,"청소 불만을 이유로 잔금을 안 주는 상황. 내용증명과 작업 사진으로 대응 필요.",견적서·작업 전후 사진·계좌이체 내역
DEBT-029,food-supply-writeoff-1000,식자재 납품 외상 1천만 원 미회수,식자재 유통업체,거래처(식당),500만~2000만,"식당 폐업과 명의 변경 의심으로 추적이 어렵다. 사업자 정보 확인과 채권 보전이 필요.",납품서·세금계산서·거래명세서
DEBT-030,jeonse-loan-3000,후배 전세 보증금 3천만 원 대여 미변제,지인(후배),지인,2000만 이상,"변제 능력이 있음에도 잠적해 괘씸함. 사기죄 성립 여부와 강제집행을 고민.",계좌이체 내역·메신저 약속·차용증 없음

